Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,VISOKO,,CO,Carbon monoxide (air),08-11-13,381.348,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,PM2.5,Particulate matter < 2.5 µm (aerosol),15-06-14,10.439,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,LIVNO,,O3,Ozone (air),06-06-10,43.502,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,VISOKO,,CO,Carbon monoxide (air),06-10-17,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=10&Year_from=2020&Year_to=2020&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,SO2,Sulphur dioxide (air),11-03-18,8.256,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,CO,Carbon monoxide (air),09-04-18,1365.51,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,O3,Ozone (air),02-04-19,113.01,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,SO2,Sulphur dioxide (air),03-09-19,-0.045,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,CO,Carbon monoxide (air),25-02-10,3947.2,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,O3,Ozone (air),12-08-23,66.721,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,VISOKO,,SO2,Sulphur dioxide (air),19-09-15,2.506,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,CO,Carbon monoxide (air),15-06-19,0.46,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=10&Year_from=2018&Year_to=2018&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,O3,Ozone (air),25-04-22,127.214,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,PM10,Particulate matter < 10 µm (aerosol),03-04-20,25.29,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),05-08-17,-2.393,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
