Country,City,Location,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2022,65.512,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM2.5,Particulate matter < 2.5 µm (aerosol),2020,39.809,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM2.5,Particulate matter < 2.5 µm (aerosol),2022,31.713,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM2.5,Particulate matter < 2.5 µm (aerosol),2022,1.387,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM2.5,Particulate matter < 2.5 µm (aerosol),2020,24.411,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM2.5,Particulate matter < 2.5 µm (aerosol),2020,39.811,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,118.098,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2022,1,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2022,95.676,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,114.305,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2022,222.857,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2019,41.987,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2020,25.24,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2018,114,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2020,225,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2020,56.172,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2019,182.158,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2018,7.707,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2019,5.075,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2022,26.187,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2023,51.839,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2019,345.58,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2020,-0.358,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2021,-1.353,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2023,1.861,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2019,90.759,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2021,96.021,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2018,161.321,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2022,195.608,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2022,50.108,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2021,5647.189,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2019,28115.447,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2022,6971.152,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2021,38.543,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2019,293.933,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2023,3.431,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2019,56.682,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2021,41.75,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2018,137.767,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2019,136.946,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2022,14,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2023,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2022,78.816,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
